index,CIP13_court,CIP13_long,numero_dossier,type_rupture,date_debut,date_fin,col7,url_detail,nom_rupture,nom_marque,idx,CIS_matched,nom_matched,methode,CIS,code_ATC
17,65952065,,4,Remise à disposition,08/06/2026,08/06/2026,08/06/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rovamycine-1-5-millions-ui-lyophilisat-pour-usage-parenteral-spiramycine,rovamycine 1 5 millions ui lyophilisat pour usage parenteral spiramycine,rovamycine,17,65952065.0,"ROVAMYCINE 1,5 MILLIONS D'UNITES INTERNATIONALES, lyophilisat pour usage parentéral",nom_marque_exact,65952065.0,J01FA02
18,64386835,,2,Tension d'approvisionnement,11/05/2026,27/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cimzia-200-mg-solution-injectable-en-stylo-prerempli-certolizumab-pegol,cimzia 200 mg solution injectable en stylo prerempli certolizumab pegol,cimzia,18,66661714.0,CIMZIA 200 mg solution injectable en seringue préremplie,nom_marque_exact,66661714.0,L04AB05
19,64606555,,2,Tension d'approvisionnement,01/11/2025,27/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/synacthene-0-25-mg-1-ml-solution-injectable-tetracosactide,synacthene 0 25 mg 1 ml solution injectable tetracosactide,synacthene,19,64606555.0,"SYNACTHENE 0,25 mg/1 ml, solution injectable",nom_marque_exact,64606555.0,H01AA02
20,65391080,,2,Tension d'approvisionnement,14/04/2026,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gardenal-50-mg-comprime-phenobarbital,gardenal 50 mg comprime phenobarbital,gardenal,20,65391080.0,"GARDENAL 50 mg, comprimé",nom_marque_exact,65391080.0,N03AA02
21,63095061,,1,Rupture de stock,26/05/2026,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zyvoxid-100-mg-5-ml-granules-pour-suspension-buvable-linezolide,zyvoxid 100 mg 5 ml granules pour suspension buvable linezolide,zyvoxid,21,63095061.0,"ZYVOXID 100 mg/5 ml, granulés pour suspension buvable",nom_marque_exact,63095061.0,J01XX08
22,68371574,,1,Rupture de stock,29/04/2026,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-teva-5-mg-comprime-pellicule-ambrisentan,ambrisentan teva 5 mg comprime pellicule ambrisentan,ambrisentan teva,22,68371574.0,"AMBRISENTAN TEVA 5 mg, comprimé pelliculé",nom_marque_exact,68371574.0,C02KX02
23,62848645,,2,Tension d'approvisionnement,06/05/2026,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-viatris-5mg-et-10-mg-comprime-pellicule-ambrisentan,ambrisentan viatris 5mg et 10 mg comprime pellicule ambrisentan,ambrisentan viatris,23,62848645.0,"AMBRISENTAN VIATRIS 10 mg, comprimé pelliculé",nom_marque_exact,62848645.0,C02KX02
24,61398654,,2,Tension d'approvisionnement,06/05/2026,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-viatris-5mg-et-10-mg-comprime-pellicule-ambrisentan,ambrisentan viatris 5mg et 10 mg comprime pellicule ambrisentan,ambrisentan viatris,24,62848645.0,"AMBRISENTAN VIATRIS 10 mg, comprimé pelliculé",nom_marque_exact,62848645.0,C02KX02
25,69731801,,2,Tension d'approvisionnement,06/10/2025,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zentel-400-mg-comprime-et-zentel-0-4-g-10-ml-suspension-buvable-albendazole,zentel 400 mg comprime et zentel 0 4 g 10 ml suspension buvable albendazole,zentel,25,69731801.0,"ZENTEL 0,4 g/10 mL, suspension buvable",nom_marque_exact,69731801.0,P02CA03
26,65565944,,2,Tension d'approvisionnement,06/10/2025,26/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zentel-400-mg-comprime-et-zentel-0-4-g-10-ml-suspension-buvable-albendazole,zentel 400 mg comprime et zentel 0 4 g 10 ml suspension buvable albendazole,zentel,26,69731801.0,"ZENTEL 0,4 g/10 mL, suspension buvable",nom_marque_exact,69731801.0,P02CA03
